,Lowest distortion,A,B,Radius A [ang],Radius B [ang],Formation energy [eV/atom],Stability [eV/atom],Volume per atom [A^3/atom],Band gap [eV],a [ang],Vacancy energy [eV/O atom],Stability (log[eV/atom]),Vacancy energy (log[eV/O atom]),Magnetic moment (^2[mu_B]),Valence B_1,Valence B_2,Valence B_3,Valence B_4,Valence B_5,Valence B_element not in BV,Valence B_not balanced
568,0,8,58,0.45,1.18,0.092,2.574,16.643,0.0,4.366,-10.413,1.3640120535586147,,,0,0,0,0,0,0,1
569,0,8,59,0.45,0.68,-1.819,1.121,12.253,0.0,3.942,1.696,0.1647862781433397,0.7621361699011121,0.021903999999999996,0,0,0,1,0,0,0
570,0,8,60,0.45,0.76,-0.928,2.038,15.561,0.0,4.269,-5.319,1.0271540515037267,,0.042849,0,0,0,1,0,0,0
571,0,8,61,0.45,0.6,-0.81,1.397,11.28,0.0,3.835,1.619,0.48233202074737613,0.6951029856404789,3.6e-05,0,0,0,0,0,1,0
572,0,8,62,0.45,0.97,-0.373,1.593,13.261,0.0,4.048,-0.192,0.6717462668632228,,,0,0,0,1,0,0,0
573,0,8,63,0.45,0.94,-1.654,2.074,18.234,0.0,4.501,-3.297,1.0524158941511386,,0.007395999999999999,0,0,0,1,0,0,0
574,0,8,64,0.45,0.61,-1.778,1.354,10.925,0.0,3.794,0.033,0.4372277389129098,-4.921390165303634,0.0,0,0,0,1,0,0,0
575,0,8,65,0.45,1.2,0.294,1.949,14.014,0.0,4.123,-5.482,0.962734090595803,,,0,0,0,0,0,0,1
576,0,8,66,0.45,0.96,-1.202,1.95,14.621,0.0,4.181,-4.789,0.963474123974886,,0.04161599999999999,0,0,0,0,0,0,1
577,0,8,67,0.45,0.89,-1.951,1.527,15.782,0.0,4.289,4.378,0.6107000621347644,2.130271954518859,0.000676,0,0,0,1,0,0,0
578,0,8,68,0.45,0.58,-1.342,1.347,10.176,0.0,3.706,0.146,0.42974985080021605,-2.77595972578207,0.0,0,0,0,1,0,0,0
579,0,8,69,0.45,0.66,-1.28,1.213,11.697,0.0,3.882,3.601,0.2785795504584233,1.8483975995281934,0.00028900000000000003,0,0,0,1,0,0,0
580,0,8,70,0.45,0.9,-1.058,2.033,15.512,0.0,4.265,-5.249,1.0236102151826454,,0.042849,0,0,0,0,0,0,1
581,1,8,71,0.45,0.95,-2.534,0.056,10.042,2.619,5.067,-7.823,-4.158429362604483,,,0,0,0,0,0,0,1
582,0,8,72,0.45,0.74,-0.152,1.694,10.27,0.0,3.717,-4.932,0.7604338746701116,,,0,0,0,0,0,0,1
583,0,8,73,0.45,0.72,-1.735,1.631,13.64,0.0,4.086,-1.469,0.7057567820497973,,0.0,0,0,0,1,0,0,0
584,0,9,1,1.38,1.12,-1.489,1.038,20.176,0.0,4.655,-0.652,0.053806443695793814,,1.6e-05,0,0,0,0,0,1,0
585,1,9,2,1.38,0.75,-0.816,0.065,13.495,0.357,5.78,-0.274,-3.9434164716336326,,,0,0,1,0,0,0,0
586,1,9,3,1.38,0.54,-2.319,0.069,10.885,2.652,5.335,4.691,-3.857259827883918,2.2298955008338943,,0,0,1,0,0,0,0
587,1,9,4,1.38,0.58,-1.232,0.228,13.453,0.33,5.546,1.801,-2.1328942704973453,0.8487981812441889,,0,0,1,0,0,0,0
588,0,9,5,1.38,0.93,-0.353,0.553,14.074,0.0,4.129,-0.165,-0.8546486144273799,,,0,0,0,0,0,1,0
589,0,9,6,1.38,0.27,-1.178,0.944,8.995,2.442,3.556,3.534,-0.08314123530024585,1.8213020398895297,,0,0,0,0,0,0,1
590,1,9,7,1.38,1.35,-1.868,0.203,19.55,0.0,6.365,-7.849,-2.3004483674769105,,,0,0,0,0,0,0,1
591,3,9,8,1.38,0.45,-1.635,0.322,10.501,0.0,3.443,-1.21,-1.63486740654747,,,0,0,0,0,0,0,1
592,0,9,9,1.38,0.9,-0.814,0.66,16.427,0.0,4.347,0.643,-0.5994620704162712,-0.6371093573341398,,0,0,0,0,0,0,1
594,0,9,11,1.38,0.95,-0.626,0.639,14.199,0.0,4.141,-1.363,-0.6461121637150926,,,0,0,0,0,0,0,1
595,0,9,12,1.38,0.87,-1.53,0.967,18.987,0.0,4.562,-4.278,-0.04841220518524589,,0.0017640000000000002,0,0,0,1,0,0,0
596,1,9,13,1.38,0.61,-1.249,0.136,11.625,0.441,5.349,2.897,-2.8783214434117474,1.5345596846083163,0.0,0,0,1,0,0,0,0
597,1,9,14,1.38,0.62,-1.962,0.016,11.928,1.56,5.43,3.843,-5.965784284662087,1.9422329764007158,0.36,0,0,1,0,0,0,0
598,1,9,15,1.38,1.67,-1.214,0.188,21.381,1.054,5.406,-3.043,-2.41119543298445,,,0,0,0,0,0,0,1
599,1,9,16,1.38,0.54,-1.063,0.03,11.827,0.0,5.369,0.652,-5.058893689053568,-0.6170561304310094,,0,0,1,0,0,0,0
600,0,9,17,1.38,0.91,-2.004,0.658,15.976,0.0,4.307,-1.152,-0.6038405109268454,,0.0,0,0,1,0,0,0,0
601,0,9,18,1.38,0.89,-2.085,0.6,15.533,0.0,4.266,-0.31,-0.7369655941662062,,0.0,0,0,1,0,0,0,0
602,1,9,19,1.38,0.95,-2.122,0.133,15.624,0.0,5.923,-4.267,-2.910501849160897,,0.0,0,0,1,0,0,0,0
603,1,9,20,1.38,0.65,-1.552,0.017,12.067,1.283,5.447,2.587,-5.878321443411748,1.371280054022654,1.0,0,0,1,0,0,0,0
604,3,9,21,1.38,0.62,-1.759,0.04,12.617,2.053,3.687,4.012,-4.643856189774724,2.0043216059500937,,0,0,1,0,0,0,0
605,0,9,22,1.38,0.94,-1.912,0.721,16.64,0.0,4.366,-1.812,-0.4719288354212646,,0.0,0,0,0,0,0,0,1
606,3,9,23,1.38,0.53,-1.397,0.281,13.527,0.0,3.832,3.272,-1.8313579644411608,1.7101727482796618,,0,0,0,1,0,0,0
607,1,9,24,1.38,0.71,-2.527,0.268,13.754,0.0,5.725,4.027,-1.8996950942043145,2.009705472283667,9e-06,0,0,0,1,0,0,0
608,1,9,25,1.38,1.11,-0.821,0.132,15.127,0.0,5.63,-1.24,-2.9213901653036336,,,0,0,0,0,0,0,1
609,0,9,26,1.38,0.9,-2.046,0.628,15.754,0.0,4.287,-0.821,-0.67116353577046,,0.0,0,0,1,0,0,0,0
610,1,9,27,1.38,0.8,-1.621,0.038,13.878,2.645,5.644,0.639,-4.717856771218502,-0.6461121637150926,,0,0,1,0,0,0,0
611,0,9,28,1.38,0.63,-0.685,0.557,12.755,0.0,3.995,0.257,-0.8442507673220552,-1.960159735468209,0.0,0,0,0,1,0,0,0
612,1,9,29,1.38,1.38,-1.209,0.241,16.576,0.673,4.63,-3.908,-2.0528949484321255,,,0,0,0,0,0,0,1
613,0,9,30,1.38,1.03,-1.657,0.936,18.63,0.0,4.533,-3.847,-0.09541956507868243,,0.002025,0,0,0,0,0,0,1
614,0,9,31,1.38,0.76,-0.821,0.661,10.441,0.0,3.737,-3.445,-0.5972778231543954,,,0,0,0,0,0,0,1
615,1,9,32,1.38,0.86,-2.686,0.032,14.19,2.947,5.682,0.295,-4.965784284662087,-1.7612131404128835,0.0,0,0,1,0,0,0,0
616,1,9,33,1.38,0.72,-1.897,0.06,11.843,0.0,5.348,-1.541,-4.058893689053568,,,0,0,0,0,0,0,1
617,1,9,34,1.38,0.65,-1.727,0.023,12.121,0.0,5.432,2.544,-5.442222328605074,1.3470986706222683,0.6400000000000001,0,0,1,0,0,0,0
618,1,9,35,1.38,0.69,-1.471,0.342,13.054,0.0,5.56,3.605,-1.5479317697761892,1.849999259466098,0.36,0,0,1,0,0,0,0
619,1,9,36,1.38,1.02,-1.275,0.18,13.664,0.609,5.133,-5.244,-2.473931188332412,,,0,0,0,0,0,0,1
620,1,9,37,1.38,0.64,-1.874,0.381,13.278,0.0,5.64,4.001,-1.392137097168765,2.000360628683515,1e-06,0,0,0,0,1,0,0
621,0,9,38,1.38,0.98,-1.671,0.876,18.116,0.0,4.491,-3.403,-0.19099722506091363,,0.0001,0,0,0,0,0,0,1
622,1,9,39,1.38,0.6,-1.233,0.035,11.585,0.0,5.33,0.59,-4.836501267717121,-0.7612131404128835,0.155236,0,0,1,0,0,0,0
623,0,9,40,1.38,0.86,-1.976,0.742,17.126,0.0,4.408,0.299,-0.4305089080412838,-1.741782610463982,0.31360000000000005,0,0,0,0,0,1,0
624,1,9,41,1.38,0.57,-0.973,0.286,12.406,0.0,5.322,1.324,-1.8059129478836977,0.40490312214513074,0.011448999999999999,0,0,0,0,0,1,0
625,2,9,42,1.38,0.91,-2.15,0.2,16.166,0.0,5.886,3.982,-2.321928094887362,1.9934932210584158,0.020735999999999997,0,0,0,0,0,1,0
626,1,9,43,1.38,0.78,-1.221,0.137,15.069,0.0,5.809,1.186,-2.86775220170156,0.24610400988391656,,0,0,0,1,0,0,0
627,1,9,44,1.38,0.62,-1.006,0.025,12.769,0.0,5.512,0.454,-5.321928094887363,-1.139235797371172,,0,0,0,1,0,0,0
628,0,9,45,1.38,0.97,-1.744,0.831,17.691,0.0,4.456,-2.951,-0.2670796178917426,,3.6e-05,0,0,0,0,0,1,0
629,0,9,46,1.38,0.85,-1.606,0.919,18.538,0.0,4.526,-3.821,-0.12186323337305248,,0.0004,0,0,0,1,0,0,0
630,0,9,47,1.38,0.67,-0.595,0.536,13.273,0.0,4.049,0.244,-0.8996950942043145,-2.0350469470992008,0.0,0,0,0,0,0,1,0
631,0,9,48,1.38,0.83,-2.053,0.5,16.778,0.0,4.378,2.16,-1.0,1.1110313123887439,0.602176,0,0,0,0,0,1,0
632,1,9,49,1.38,1.52,-1.205,0.218,18.866,0.971,5.115,-9.484,-2.1975999598851605,,,0,0,0,0,0,0,1
633,0,9,50,1.38,0.58,-1.04,0.506,12.764,0.0,3.996,1.965,-0.982790709967777,0.9745293124838819,0.0004,0,0,0,0,1,0,0
634,1,9,51,1.38,0.67,-1.182,0.056,12.332,0.513,5.403,0.707,-4.158429362604483,-0.5002178798526883,0.0,0,0,1,0,0,0,0
635,1,9,52,1.38,0.62,-1.176,0.138,12.35,0.0,5.398,1.594,-2.857259827883918,0.6726516293283848,0.036864,0,0,0,1,0,0,0
636,1,9,53,1.38,0.76,-1.365,0.171,15.301,0.0,5.783,1.105,-2.547931769776189,0.14404636961670686,,0,0,1,0,0,0,0
637,1,9,54,1.38,0.75,-2.608,0.033,13.075,3.008,5.56,1.957,-4.921390165303634,0.9686437559647169,0.0,0,0,1,0,0,0,0
638,0,9,55,1.38,0.4,-1.645,0.727,10.736,0.0,3.772,2.725,-0.45997273074249273,1.4462562298895643,,0,0,0,1,0,0,0
639,0,9,56,1.38,0.96,-1.786,0.801,17.358,0.0,4.427,-2.646,-0.32012585225337686,,1e-06,0,0,0,0,0,0,1
640,1,9,57,1.38,0.69,-1.465,0.22,14.635,0.0,5.71,3.114,-2.1844245711374275,1.6387689444169498,,0,0,0,1,0,0,0
641,1,9,58,1.38,1.18,-1.945,0.156,16.905,0.0,6.059,-5.909,-2.6803820657998387,,,0,0,0,0,0,0,1
642,1,9,59,1.38,0.64,-1.978,0.491,13.215,0.0,5.638,3.658,-1.026205070347394,1.8710550750866295,0.0,0,0,0,0,1,0,0
643,0,9,60,1.38,0.76,-1.83,0.688,16.361,0.0,4.341,-1.455,-0.5395195299599892,,0.0,0,0,0,1,0,0,0
644,1,9,61,1.38,0.6,-1.303,0.209,12.538,0.0,5.427,2.408,-2.2584251525812045,1.267835392097615,0.16000000000000003,0,0,0,0,0,1,0
645,0,9,62,1.38,0.97,-0.78,0.588,15.346,0.0,4.249,-0.073,-0.7661119398257227,,,0,0,0,1,0,0,0
646,0,9,63,1.38,0.94,-2.299,0.735,19.106,0.0,4.571,1.158,-0.44418384493836033,0.21163525332714944,0.0,0,0,0,1,0,0,0
647,2,9,64,1.38,0.61,-2.243,0.21,12.05,0.0,5.38,4.05,-2.2515387669959646,2.017921907997262,2.5e-05,0,0,0,1,0,0,0
648,1,9,65,1.38,0.89,-1.154,0.052,14.87,1.059,5.777,-1.519,-4.265344566520995,,,0,0,1,0,0,0,0
649,0,9,66,1.38,0.88,-2.135,0.568,15.235,0.282,4.239,-0.198,-0.8160371651574051,,0.0,0,0,1,0,0,0,0
650,0,9,67,1.38,0.89,-1.717,1.066,23.213,0.0,4.878,-2.322,0.09220743809708888,,0.060024999999999995,0,0,0,1,0,0,0
651,1,9,68,1.38,0.64,-2.045,0.007,12.262,0.891,5.448,3.34,-7.158429362604483,1.7398481026993275,0.16000000000000003,0,0,1,0,0,0,0
652,0,9,69,1.38,0.66,-1.414,0.543,12.987,0.0,4.019,3.201,-0.8809758968577254,1.6785226768834942,0.0,0,0,0,1,0,0,0
653,0,9,70,1.38,0.9,-1.982,0.659,16.089,0.0,4.317,-0.964,-0.6016496296540352,,0.0,0,0,1,0,0,0,0
654,0,9,71,1.38,0.87,-1.421,0.799,14.371,0.0,4.157,-2.28,-0.3237325917341102,,,0,0,1,0,0,0,0
655,1,9,72,1.38,0.74,-1.323,0.107,12.119,0.0,5.385,-0.418,-3.22431729826094,,,0,0,0,0,0,0,1
656,1,9,73,1.38,0.72,-2.388,0.284,14.066,0.0,5.774,3.628,-1.8160371651574052,1.8591744558664354,0.0,0,0,0,1,0,0,0
657,0,10,1,1.34,1.12,-2.373,0.708,19.615,0.0,4.612,-0.53,-0.4981787345790896,,0.007056000000000001,0,0,0,0,0,1,0
658,1,10,2,1.34,0.95,-1.347,0.063,12.431,0.0,5.507,-0.905,-3.9885043611621707,,,0,0,0,0,0,0,1
659,0,10,3,1.34,0.54,-2.884,0.078,10.252,0.0,3.715,0.239,-3.6803820657998387,-2.0649174766813387,,0,0,0,0,0,0,1
660,1,10,4,1.34,0.52,-2.124,0.192,11.497,0.0,5.387,2.158,-2.380821783940931,1.1096948648259297,,0,0,0,0,0,0,1
661,1,10,5,1.34,0.93,-1.414,0.155,12.485,0.0,5.551,-0.703,-2.6896598793878495,,,0,0,0,0,0,1,0
662,0,10,6,1.34,0.27,-1.873,0.911,8.157,0.0,3.442,-1.223,-0.13447704086003626,,,0,0,0,0,0,0,1
663,0,10,7,1.34,1.35,-1.425,1.125,19.341,0.0,4.59,-1.978,0.16992500144231235,,,0,0,0,0,0,0,1
664,1,10,8,1.34,0.45,-2.059,0.432,9.003,0.0,4.712,-1.895,-1.2108967824986185,,,0,0,0,0,0,0,1
665,1,10,9,1.34,0.9,-2.094,-0.037,14.423,0.0,5.758,1.441,,0.5270703355126605,,0,0,0,0,0,0,1
668,0,10,12,1.34,0.87,-2.351,0.7,18.285,0.0,4.505,-1.45,-0.5145731728297583,,0.04000000000000001,0,0,0,1,0,0,0
669,2,10,13,1.34,0.53,-1.885,0.037,10.255,0.0,5.197,0.72,-4.756330919033138,-0.4739311883324124,0.33177599999999996,0,0,0,1,0,0,0
670,1,10,14,1.34,0.55,-2.611,0.054,11.068,0.541,5.302,1.456,-4.210896782498619,0.5420103555366091,0.16000000000000003,0,0,0,1,0,0,0
671,0,10,15,1.34,1.67,-0.634,1.287,18.02,0.0,4.483,-1.536,0.36401205355861466,,,0,0,0,0,0,0,1
672,2,10,16,1.34,0.68,-1.537,0.09,10.605,0.0,5.306,-0.449,-3.473931188332412,,,0,0,0,0,0,0,1
673,1,10,17,1.34,0.99,-3.036,0.18,14.166,0.0,5.895,-1.223,-2.473931188332412,,0.04000000000000001,0,0,0,0,0,0,1
674,1,10,18,1.34,0.89,-3.068,0.172,13.907,0.0,5.866,-3.292,-2.539519529959989,,0.04000000000000001,0,0,0,0,0,0,1
675,0,10,19,1.34,1.06,-1.97,0.693,14.976,0.0,4.215,-1.586,-0.5290727425248734,,0.000256,0,0,0,0,0,0,1
676,2,10,20,1.34,0.59,-2.195,0.002,10.664,0.0,5.287,1.132,-8.965784284662087,0.17887395816979512,0.6400000000000001,0,0,0,1,0,0,0
677,2,10,21,1.34,0.62,-2.197,0.202,11.139,0.0,5.292,-0.749,-2.3075728019102923,,,0,0,0,0,0,0,1
678,0,10,22,1.34,0.94,-2.638,0.549,16.276,0.0,4.334,-1.267,-0.8651219456568883,,0.04000000000000001,0,0,0,0,0,0,1
680,1,10,24,1.34,0.71,-3.669,-0.087,12.605,4.716,5.541,6.417,,2.681898983224113,0.0,0,0,0,1,0,0,0
681,0,10,25,1.34,1.11,-1.037,0.523,14.232,0.0,4.144,-1.148,-0.9351171484151456,,,0,0,0,0,0,0,1
682,1,10,26,1.34,0.9,-3.052,0.176,14.022,0.0,5.879,,-2.5063526660247897,,0.04000000000000001,0,0,0,0,0,0,1
683,1,10,27,1.34,0.8,-2.044,0.187,13.113,0.0,5.763,-1.23,-2.4188898247744506,,,0,0,0,0,0,0,1
684,1,10,28,1.34,0.63,-1.919,0.023,11.479,0.0,5.312,0.979,-5.442222328605074,-0.03061923505839206,0.0007289999999999999,0,0,0,1,0,0,0
685,0,10,29,1.34,1.38,-0.421,1.506,15.249,0.0,4.24,-3.797,0.590721770009841,,,0,0,0,0,0,0,1
686,0,10,30,1.34,1.03,-2.493,0.654,17.578,0.0,4.446,,-0.6126374591640045,,0.035721,0,0,0,0,0,0,1
687,0,10,31,1.34,0.76,-1.377,0.616,9.924,0.0,3.675,-2.236,-0.6989977439671857,,,0,0,0,0,0,0,1
688,1,10,32,1.34,0.86,-3.111,0.161,13.51,0.0,5.798,-0.989,-2.63486740654747,,0.04000000000000001,0,0,0,0,0,0,1
689,1,10,33,1.34,0.72,-2.227,0.256,11.596,0.0,3.838,-1.62,-1.965784284662087,,,0,0,0,0,0,0,1
690,3,10,34,1.34,0.53,-2.349,0.094,11.353,0.0,3.794,1.209,-3.41119543298445,0.27381424458703657,0.366025,0,0,0,1,0,0,0
691,1,10,35,1.34,0.65,-2.59,0.064,11.802,0.0,5.41,4.546,-3.965784284662087,2.1845976841557606,0.0007840000000000001,0,0,0,1,0,0,0
693,1,10,37,1.34,0.68,-3.005,0.025,12.374,0.0,5.516,,-5.321928094887363,,9e-06,0,0,0,1,0,0,0
694,0,10,38,1.34,0.98,-2.455,0.697,17.345,0.0,4.426,-1.416,-0.520769438793664,,0.04000000000000001,0,0,0,0,0,0,1
695,2,10,39,1.34,0.48,-1.67,0.131,10.45,0.0,5.2,-0.189,-2.932361283124637,,0.0,0,0,0,1,0,0,0
696,0,10,40,1.34,0.86,-2.892,0.613,16.845,0.0,4.383,3.625,-0.7060410209713056,1.857980995127572,0.36,0,0,0,0,0,1,0
697,1,10,41,1.34,0.57,-1.995,0.084,11.469,0.0,5.324,2.187,-3.5734668618833267,1.1289532203860062,0.033856,0,0,0,0,0,1,0
698,2,10,42,1.34,0.91,-3.149,0.039,16.035,1.851,6.124,5.379,-4.680382065799838,2.427337988927444,0.04000000000000001,0,0,0,0,0,1,0
699,1,10,43,1.34,0.78,-2.017,0.038,13.69,1.258,5.675,1.239,-4.717856771218502,0.3091761874785146,,0,0,0,1,0,0,0
700,1,10,44,1.34,0.62,-1.714,-0.099,11.604,0.423,5.347,-0.257,,,,0,0,0,1,0,0,0
701,0,10,45,1.34,0.97,-2.511,0.619,17.023,0.0,4.399,-1.382,-0.6919886854478224,,0.04000000000000001,0,0,0,0,0,1,0
702,0,10,46,1.34,0.85,-2.407,0.672,17.748,0.0,4.46,-1.401,-0.5734668618833267,,0.04000000000000001,0,0,0,1,0,0,0
703,1,10,47,1.34,0.67,-1.797,0.047,11.714,0.876,5.345,-0.262,-4.411195432984449,,0.0,0,0,0,0,0,1,0
704,1,10,48,1.34,0.83,-3.343,-0.109,14.65,1.928,5.794,,,,0.6400000000000001,0,0,0,0,0,1,0
705,0,10,49,1.34,1.52,-0.431,1.484,15.663,0.0,4.278,-2.951,0.5694910919587162,,,0,0,0,0,0,0,1
706,1,10,50,1.34,0.63,-2.248,0.11,11.586,0.0,5.343,2.781,-3.1844245711374275,1.4756037446846,0.016641,0,0,0,1,0,0,0
707,1,10,51,1.34,0.6,-1.934,0.008,11.592,0.0,5.347,1.092,-6.965784284662087,0.12697285625776553,0.04000000000000001,0,0,0,1,0,0,0
708,1,10,52,1.34,0.62,-2.073,-0.017,11.614,0.0,5.371,2.353,,1.2345013205622106,0.15760900000000003,0,0,0,1,0,0,0
709,1,10,53,1.34,0.68,-2.276,0.117,13.281,0.0,5.612,2.491,-3.095419565078682,1.3167250215787496,,0,0,0,0,0,0,1
710,1,10,54,1.34,0.75,-3.059,0.14,12.549,0.0,5.624,-0.806,-2.8365012677171206,,0.04000000000000001,0,0,0,0,0,0,1
711,2,10,55,1.34,0.4,-3.058,0.234,9.159,4.339,5.054,6.171,-2.095419565078682,2.6255042945840033,,0,0,0,1,0,0,0
712,0,10,56,1.34,0.96,-2.543,0.599,16.855,0.0,4.384,-1.367,-0.7393720918733014,,0.04000000000000001,0,0,0,0,0,0,1
713,1,10,57,1.34,0.69,-2.531,0.015,12.503,2.74,5.529,3.479,-6.058893689053568,1.7986726789578031,,0,0,0,1,0,0,0
714,0,10,58,1.34,1.18,-1.549,1.025,17.11,0.0,4.406,-2.813,0.035623909730721215,,,0,0,0,0,0,0,1
715,1,10,59,1.34,0.68,-3.097,0.078,12.223,0.0,5.489,5.448,-3.6803820657998387,2.445726703349984,0.0,0,0,0,1,0,0,0
716,0,10,60,1.34,0.76,-2.541,0.53,15.977,0.0,4.307,-1.243,-0.9159357352115255,,0.04000000000000001,0,0,0,1,0,0,0
717,1,10,61,1.34,0.6,-2.322,-0.024,11.627,0.0,5.37,3.419,,1.7735744227713075,0.11971599999999999,0,0,0,0,0,1,0
718,1,10,62,1.34,0.97,-2.037,0.193,13.74,0.0,5.659,2.703,-2.3733272473940064,1.4345615118726076,,0,0,0,1,0,0,0
719,0,10,63,1.34,0.94,-3.203,0.617,18.935,1.603,4.558,5.025,-0.6966576055126692,2.3291235962915664,0.0,0,0,0,1,0,0,0
720,1,10,64,1.34,0.61,-3.367,-0.046,11.199,2.356,5.355,5.068,,2.3414165244787224,0.0,0,0,0,1,0,0,0
721,1,10,65,1.34,1.2,-1.596,0.17,13.861,0.0,5.686,-1.03,-2.5563933485243853,,,0,0,0,0,0,0,1
722,1,10,66,1.34,0.96,-3.089,0.167,13.761,0.0,5.84,-1.074,-2.5820799921880346,,0.04000000000000001,0,0,0,0,0,0,1
723,0,10,67,1.34,0.89,-2.95,0.62,17.05,0.0,4.401,,-0.6896598793878495,,0.1296,0,0,0,1,0,0,0
724,1,10,68,1.34,0.58,-2.901,-0.014,10.892,0.435,5.28,3.563,,1.8330924834712123,0.04000000000000001,0,0,0,1,0,0,0
725,1,10,69,1.34,0.66,-2.568,0.195,11.873,0.0,5.408,4.338,-2.3584539709124765,2.117030053010187,9e-06,0,0,0,1,0,0,0
726,0,10,70,1.34,0.9,-2.666,0.529,15.844,0.0,4.295,-1.37,-0.9186603725480612,,0.04000000000000001,0,0,0,0,0,0,1
727,0,10,71,1.34,0.95,-2.047,0.66,14.129,0.0,4.134,-1.714,-0.5994620704162712,,,0,0,0,0,0,0,1
728,1,10,72,1.34,0.74,-1.703,0.26,11.654,0.0,5.426,-1.142,-1.9434164716336324,,,0,0,0,0,0,0,1
729,1,10,73,1.34,0.72,-3.517,-0.059,12.962,4.083,5.582,6.012,,2.5878450092542775,0.0,0,0,0,1,0,0,0
730,1,11,1,1.31,1.12,-2.106,0.179,16.436,0.0,6.085,-2.851,-2.4819685073978306,,0.04000000000000001,0,0,0,0,0,1,0
731,1,11,2,1.31,0.95,-0.485,0.122,12.103,0.0,5.448,-1.44,-3.0350469470992008,,,0,0,0,0,0,0,1
732,1,11,3,1.31,0.54,-1.967,0.16,10.187,0.0,5.179,-0.406,-2.643856189774725,,,0,0,0,0,0,0,1
733,1,11,4,1.31,0.52,-1.228,0.2,11.462,0.0,5.378,1.426,-2.321928094887362,0.511973981781801,,0,0,0,0,0,0,1
734,1,11,5,1.31,0.93,-0.549,0.086,12.338,0.0,5.454,-1.049,-3.539519529959989,,,0,0,0,0,0,1,0
735,0,11,6,1.31,0.27,-0.836,1.045,8.316,0.0,3.464,-1.768,0.06350294230615795,,,0,0,0,0,0,0,1
736,1,11,7,1.31,1.35,-1.535,0.23,17.186,0.843,6.481,-6.3,-2.1202942337177118,,,0,0,0,0,0,0,1
737,0,11,8,1.31,0.45,-1.07,0.611,9.026,0.0,3.56,-2.662,-0.7107557148433576,,,0,0,0,0,0,0,1
738,1,11,9,1.31,0.9,-1.258,0.007,14.164,0.0,5.758,-0.486,-7.158429362604483,,,0,0,0,0,0,0,1
739,0,11,10,1.31,1.0,-0.816,0.982,14.897,0.0,4.207,-4.196,-0.026205070347394006,,,0,0,0,0,0,0,1
740,0,11,11,1.31,0.95,-0.301,0.688,13.686,0.0,4.09,-2.691,-0.5395195299599892,,,0,0,0,0,0,0,1
741,0,11,12,1.31,0.87,-1.4,0.855,18.344,0.0,4.51,-3.427,-0.22600367488882686,,0.046224999999999995,0,0,0,1,0,0,0
742,2,11,13,1.31,0.53,-0.98,0.141,10.111,0.0,5.167,-0.458,-2.8262329322632938,,0.038025,0,0,0,1,0,0,0
743,1,11,14,1.31,0.55,-1.684,0.138,10.58,0.336,5.255,0.721,-2.857259827883918,-0.4719288354212646,0.16000000000000003,0,0,0,1,0,0,0
744,0,11,15,1.31,1.67,0.302,1.439,17.462,0.0,4.436,-2.614,0.5250665920782109,,,0,0,0,0,0,0,1
745,1,11,16,1.31,0.68,-0.669,0.148,10.392,0.0,5.213,-1.105,-2.7563309190331373,,,0,0,0,0,0,0,1
746,0,11,17,1.31,0.99,-1.731,0.688,15.738,0.0,4.285,-2.481,-0.5395195299599892,,0.041209,0,0,0,0,0,0,1
747,0,11,18,1.31,0.89,-1.789,0.653,15.362,0.0,4.251,-2.29,-0.6148451031156562,,0.04080400000000001,0,0,0,0,0,0,1
748,1,11,19,1.31,1.06,-1.588,0.265,14.49,0.0,5.858,-3.671,-1.9159357352115254,,0.16809999999999997,0,0,0,0,0,0,1
749,1,11,20,1.31,0.59,-1.283,0.077,10.599,0.0,5.272,0.208,-3.698997743967186,-2.265344566520995,0.6384010000000001,0,0,0,1,0,0,0
750,1,11,21,1.31,0.62,-1.356,0.21,11.008,0.0,5.277,-1.445,-2.2515387669959646,,,0,0,0,0,0,0,1
751,0,11,22,1.31,0.94,-1.667,0.724,16.256,0.0,4.332,-2.669,-0.4659383975788817,,0.04161599999999999,0,0,0,0,0,0,1
752,1,11,23,1.31,0.53,-1.588,0.114,10.494,1.201,5.259,3.067,-3.1328942704973453,1.6168281666049324,,0,0,0,1,0,0,0
753,2,11,24,1.31,0.71,-2.773,0.025,12.535,2.653,5.665,2.526,-5.321928094887363,1.3368546391254652,0.0,0,0,0,1,0,0,0
754,0,11,25,1.31,1.11,-0.055,0.636,14.116,0.0,4.133,-2.201,-0.6529013293777317,,,0,0,0,0,0,0,1
755,0,11,26,1.31,0.9,-1.761,0.67,15.542,0.0,4.267,-2.387,-0.5777669993169522,,0.041209,0,0,0,0,0,0,1
756,0,11,27,1.31,0.8,-0.845,0.594,13.851,0.0,4.107,-2.206,-0.7514651638613213,,,0,0,0,0,0,0,1
757,1,11,28,1.31,0.63,-1.004,0.129,11.421,0.0,5.417,1.027,-2.954557029238833,0.03843618165610792,0.028561000000000003,0,0,0,1,0,0,0
758,0,11,29,1.31,1.38,0.585,1.728,15.07,0.0,4.224,-4.644,0.7891032175013815,,,0,0,0,0,0,0,1
759,0,11,30,1.31,1.03,-1.547,0.803,17.671,0.0,4.454,-2.966,-0.3165281071447725,,0.044521,0,0,0,0,0,0,1
760,0,11,31,1.31,0.76,-0.383,0.827,9.937,0.0,3.676,-3.831,-0.2740407654908124,,,0,0,0,0,0,0,1
